popden,hospitals,entertainment,monuments,schools,rent,lat,lon,metro
19674,3,0,0,1,"22,000",17.206198532498583,78.5996965764315,yes
11500,3,0,0,0,"22,000",17.472438109891822,78.21132798499224,yes
22067,1,0,0,0,"30,000",17.27819164458481,78.46604761251001,yes
13289,1,0,0,1,"30,000",17.37830614744105,78.50662557379212,no
11500,3,1,0,1,"14,000",17.578969168259423,78.45381537560094,yes
11500,3,0,0,0,"16,000",17.296172236176076,78.35382957263859,yes
19674,5,3,0,1,"14,000",17.35289770276829,78.23407920523464,yes
24642,1,0,0,1,"30,000",17.211738112015826,78.49409083988404,yes
19674,4,0,0,0,"30,000",17.550127987279406,78.36933718245146,yes
19674,5,0,1,0,"14,000",17.545485341731325,78.27882701922513,yes
13289,4,0,0,1,"30,000",17.495194244439098,78.60849199778697,yes
13289,4,0,0,1,"11,000",17.37909495052669,78.31000303465262,yes
22067,5,0,0,1,"16,000",17.546718994262765,78.53136414451066,yes
13289,1,1,0,1,"22,000",17.20579944747671,78.35808980252162,yes
19674,3,0,0,1,"16,000",17.52780010176103,78.32381994672852,yes
19674,1,3,0,0,"30,000",17.444969861439375,78.21681220290975,yes
22067,3,0,0,1,"16,000",17.504390816203465,78.25463785059809,yes
19674,1,0,1,1,"14,000",17.262071001543383,78.34964509097762,yes
11500,1,3,0,1,"16,000",17.3539938107775,78.67782065240804,yes
11500,4,0,0,1,"16,000",17.55931292566654,78.2270417636646,yes
19674,5,3,0,1,"16,000",17.43853435932714,78.29724238781091,yes
24642,3,0,0,0,"11,000",17.54596700667649,78.64708322973578,yes
22067,3,0,1,1,"22,000",17.319974926297167,78.3155326654835,yes
22067,4,0,0,1,"11,000",17.570506802950085,78.51156308626373,yes
19674,1,0,0,1,"14,000",17.469449927521243,78.34576554805103,yes
11500,5,1,0,0,"14,000",17.52323923018691,78.22298588381538,yes
19674,3,0,0,1,"11,000",17.209917218478356,78.2664441668881,yes
13289,1,1,1,1,"14,000",17.29049844888297,78.54636486783002,yes
11500,5,0,0,0,"11,000",17.298467839172908,78.46521867148321,yes
19674,1,0,0,1,"16,000",17.259667063847196,78.50055575591571,yes
11500,5,3,0,0,"16,000",17.25961630312575,78.34421749652253,yes
24642,4,3,1,1,"30,000",17.384491952756136,78.34280378172615,yes
19674,4,3,1,0,"30,000",17.317668827220455,78.51420840644937,yes
11500,1,0,1,0,"30,000",17.574473673874287,78.4526939545854,no
22067,1,3,0,0,"14,000",17.38121019400646,78.34362555069569,yes
13289,1,0,0,0,"30,000",17.35530857878064,78.26892517544768,no
13289,4,3,0,1,"14,000",17.22150310067566,78.52547974086315,yes
24642,1,0,0,1,"11,000",17.37486376309191,78.32709614802785,yes
24642,1,3,0,0,"22,000",17.281864267896214,78.419517265117,yes
19674,5,0,0,0,"22,000",17.470123391572482,78.28044533166724,yes
13289,3,3,0,1,"22,000",17.439541238176908,78.57582259822851,yes
13289,1,0,1,0,"30,000",17.40305730462104,78.21093956930713,no
11500,3,3,0,1,"22,000",17.343947667586242,78.45074653512422,yes
19674,3,0,0,1,"11,000",17.522938939880994,78.61477589407386,yes
22067,5,1,0,0,"11,000",17.388722608351674,78.21331268522081,yes
22067,1,0,0,0,"14,000",17.26162808125948,78.24065416000455,yes
11500,4,0,0,0,"30,000",17.269594761567856,78.58574314563495,yes
